query_id	Rprec
1	0.1081
3	0.0811
4	0.1463
5	0.125
6	0.2016
7	0.1962
8	0.0
9	0.1509
10	0.0
11	0.1169
12	0.0331
13	0.1143
14	0.0
15	0.0
16	0.0
17	0.0
18	0.058
19	0.0492
20	0.381
23	0.0
24	0.0
25	0.2051
26	0.1429
27	0.5
28	0.0526
29	0.0
30	0.0
31	0.0
32	0.0
33	0.0769
34	0.0
35	1.0
36	0.0
37	0.0
38	0.0324
39	0.0
40	0.0748
41	0.0
42	0.0513
44	0.0
45	0.0
46	0.0
47	0.0278
48	0.0
49	0.0
50	0.0
52	0.7338
53	0.401
54	0.2611
55	0.0135
56	0.5537
57	0.6364
58	0.6736
59	0.0995
60	0.0
61	0.1731
62	0.5042
63	0.0
64	0.0022
65	0.0
66	0.0
67	0.0092
68	0.1892
69	0.1875
70	0.1167
71	0.0856
72	0.0118
73	0.0027
74	0.0119
76	0.0
77	0.5028
79	0.0
80	0.1199
81	0.2182
82	0.0
83	0.0222
84	0.0
85	0.1208
86	0.1538
87	0.0123
88	0.0408
89	0.1286
90	0.1735
91	0.0
92	0.0746
93	0.0
94	0.0
95	0.0109
96	0.0
97	0.35
98	0.4474
99	0.5077
100	0.1402
101	0.2424
102	0.05
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.0564
109	0.0
110	0.2784
111	0.2
112	0.0
113	0.0
114	0.0362
115	0.0183
116	0.0
117	0.3462
118	0.2111
119	0.1931
120	0.0278
121	0.0532
122	0.3061
123	0.3282
124	0.287
125	0.1585
126	0.0
127	0.0135
128	0.0066
129	0.3618
130	0.0849
131	0.0714
132	0.632
133	0.0164
134	0.0909
135	0.4246
136	0.3077
137	0.4583
138	0.0
139	0.0741
140	0.0563
141	0.1719
142	0.3731
143	0.1771
144	0.0
145	0.0889
146	0.0241
147	0.007
148	0.1307
149	0.0
150	0.2179
