query_id	Rprec
1	0.1171
3	0.0541
4	0.0732
5	0.0000
6	0.2093
7	0.1139
8	0.0000
9	0.1321
10	0.0068
11	0.1169
12	0.0441
13	0.1000
14	0.0943
15	0.0172
16	0.0000
17	0.0000
18	0.0435
19	0.0656
20	0.3333
21	0.4783
23	0.0000
24	0.0000
25	0.1795
26	0.0714
27	0.3333
28	0.0000
29	0.1667
30	0.0000
31	0.0000
32	0.0000
33	0.0769
34	0.0000
35	1.0000
36	0.0000
37	0.0000
38	0.0463
39	0.0000
40	0.1224
41	0.0000
42	0.0513
44	0.0000
45	0.0000
46	0.0000
47	0.1667
48	0.0000
49	0.0000
50	0.0000
52	0.2583
53	0.3419
54	0.2420
55	0.0000
56	0.3643
57	0.6091
58	0.5069
59	0.0768
60	0.0000
61	0.1154
62	0.4788
63	0.0000
64	0.0043
65	0.0000
66	0.0000
67	0.0040
68	0.0450
69	0.0000
70	0.1167
71	0.0820
72	0.0000
73	0.0000
74	0.0079
76	0.0000
77	0.0000
79	0.0000
80	0.0959
81	0.1636
82	0.0000
83	0.0111
84	0.0263
85	0.1261
86	0.0000
87	0.0123
88	0.0204
89	0.0571
90	0.1633
91	0.0000
92	0.0746
93	0.0000
94	0.0084
95	0.0109
96	0.0000
97	0.3500
98	0.4211
99	0.4744
100	0.0467
101	0.1212
102	0.2500
103	0.0000
104	0.0000
105	0.0000
106	0.0000
107	0.0000
108	0.0714
109	0.0000
110	0.3004
111	0.1872
112	0.0000
113	0.0000
114	0.0498
115	0.0459
116	0.0435
117	0.5192
118	0.2075
119	0.2104
120	0.0278
121	0.0266
122	0.4286
123	0.0840
124	0.2087
125	0.1148
126	0.0000
127	0.0045
128	0.0066
129	0.2561
130	0.0985
131	0.0714
132	0.5714
133	0.0000
134	0.0909
135	0.4749
137	0.3646
138	0.0000
139	0.0370
140	0.0423
141	0.0781
142	0.3318
143	0.0629
144	0.0000
145	0.0667
146	0.2386
147	0.0000
148	0.0625
149	0.0000
150	0.1670
