query_id	P_10
1	0.3000
3	0.0000
4	0.1000
5	0.2000
6	0.4000
7	0.7000
8	0.0000
9	0.0000
10	0.0000
11	0.2000
12	0.0000
13	0.0000
14	0.0000
15	0.0000
16	0.0000
17	0.0000
18	0.2000
19	0.0000
20	0.7000
23	0.0000
24	0.0000
25	0.0000
26	0.1000
27	0.3000
28	0.0000
29	0.0000
30	0.0000
31	0.1000
32	0.0000
33	0.2000
34	0.0000
35	0.1000
36	0.0000
37	0.0000
38	0.0000
39	0.0000
40	0.0000
41	0.0000
42	0.0000
44	0.0000
45	0.0000
46	0.0000
47	0.1000
48	0.0000
49	0.0000
50	0.0000
52	1.0000
53	0.5000
54	0.7000
55	0.0000
56	1.0000
57	0.8000
58	0.9000
59	0.5000
60	0.0000
61	0.1000
62	0.5000
63	0.0000
64	0.0000
65	0.0000
66	0.0000
67	0.0000
68	0.3000
69	0.3000
70	0.0000
71	0.0000
72	0.0000
73	0.0000
74	0.0000
76	0.0000
77	0.8000
79	0.0000
80	0.1000
81	0.4000
82	0.0000
83	0.0000
84	0.0000
85	0.4000
86	0.1000
87	0.0000
88	0.3000
89	0.3000
90	0.4000
91	0.0000
92	0.0000
93	0.0000
94	0.0000
95	0.0000
96	0.0000
97	0.7000
98	0.6000
99	0.9000
100	0.1000
101	0.2000
102	0.0000
103	0.0000
104	0.0000
105	0.0000
106	0.0000
107	0.0000
108	0.0000
109	0.0000
110	0.3000
111	0.6000
112	0.0000
113	0.0000
114	0.1000
115	0.0000
116	0.0000
117	0.0000
118	0.0000
119	0.0000
120	0.0000
121	0.0000
122	0.4000
123	0.7000
124	0.7000
125	0.0000
126	0.0000
127	0.0000
128	0.1000
129	0.6000
130	0.3000
131	0.0000
132	1.0000
133	0.0000
134	0.1000
135	0.1000
136	0.3000
137	0.4000
138	0.0000
139	0.1000
140	0.2000
141	0.2000
142	0.3000
143	0.0000
144	0.0000
145	0.2000
146	0.0000
147	0.0000
148	0.4000
149	0.0000
150	0.0000
