query_id	P_100
1	0.09
3	0.08
4	0.08
5	0.1
6	0.28
7	0.23
8	0.0
9	0.17
10	0.01
11	0.15
12	0.04
13	0.1
14	0.01
15	0.0
16	0.0
17	0.0
18	0.05
19	0.06
20	0.27
23	0.0
24	0.0
25	0.16
26	0.02
27	0.04
28	0.05
29	0.03
30	0.0
31	0.01
32	0.0
33	0.02
34	0.0
35	0.01
36	0.02
37	0.0
38	0.03
39	0.0
40	0.11
41	0.01
42	0.04
44	0.0
45	0.0
46	0.0
47	0.02
48	0.0
49	0.0
50	0.0
52	1.0
53	0.52
54	0.46
55	0.0
56	0.96
57	0.65
58	0.71
59	0.15
60	0.0
61	0.22
62	0.23
63	0.0
64	0.0
65	0.0
66	0.0
67	0.02
68	0.21
69	0.05
70	0.09
71	0.07
72	0.02
73	0.0
74	0.03
76	0.0
77	0.59
79	0.0
80	0.11
81	0.16
82	0.0
83	0.01
84	0.01
85	0.23
86	0.08
87	0.02
88	0.06
89	0.07
90	0.13
91	0.0
92	0.04
93	0.0
94	0.01
95	0.01
96	0.0
97	0.3
98	0.28
99	0.75
100	0.11
101	0.17
102	0.12
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.03
109	0.0
110	0.26
111	0.24
112	0.0
113	0.0
114	0.07
115	0.0
116	0.0
117	0.37
118	0.0
119	0.06
120	0.03
121	0.01
122	0.28
123	0.59
124	0.33
125	0.14
126	0.0
127	0.01
128	0.01
129	0.38
130	0.07
131	0.02
132	0.83
133	0.03
134	0.07
135	0.36
136	0.11
137	0.46
138	0.0
139	0.05
140	0.12
141	0.12
142	0.34
143	0.3
144	0.01
145	0.07
146	0.02
147	0.0
148	0.19
149	0.0
150	0.34
