query_id	P_100
1	0.12
3	0.05
4	0.09
5	0.13
6	0.2
7	0.14
8	0.0
9	0.17
10	0.01
11	0.11
12	0.06
13	0.1
14	0.03
15	0.0
16	0.0
17	0.0
18	0.07
19	0.05
20	0.32
23	0.0
24	0.0
25	0.16
26	0.02
27	0.05
28	0.06
29	0.03
30	0.0
31	0.01
32	0.0
33	0.02
34	0.0
35	0.01
36	0.02
37	0.0
38	0.03
39	0.0
40	0.08
41	0.0
42	0.04
44	0.0
45	0.0
46	0.0
47	0.09
48	0.0
49	0.0
50	0.0
52	0.96
53	0.49
54	0.34
55	0.0
56	0.96
57	0.63
58	0.65
59	0.09
60	0.0
61	0.15
62	0.49
63	0.0
64	0.0
65	0.0
66	0.0
67	0.0
68	0.14
69	0.03
70	0.09
71	0.03
72	0.01
73	0.0
74	0.01
76	0.0
77	0.62
79	0.0
80	0.19
81	0.14
82	0.0
83	0.01
84	0.01
85	0.18
86	0.05
87	0.01
88	0.01
89	0.05
90	0.17
91	0.0
92	0.06
93	0.0
94	0.01
95	0.02
96	0.0
97	0.25
98	0.27
99	0.6
100	0.07
101	0.21
102	0.12
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.03
109	0.0
110	0.29
111	0.25
112	0.01
113	0.0
114	0.09
115	0.04
116	0.01
117	0.38
118	0.34
119	0.3
120	0.03
121	0.01
122	0.3
123	0.24
124	0.24
125	0.17
126	0.0
127	0.01
128	0.02
129	0.23
130	0.05
131	0.03
132	0.8
133	0.0
134	0.02
135	0.56
136	0.11
137	0.33
138	0.0
139	0.07
140	0.11
141	0.08
142	0.35
143	0.19
144	0.0
145	0.05
146	0.02
147	0.0
148	0.07
149	0.0
150	0.3
