query_id	P_5
1	0.2
3	0.0
4	0.0
5	0.0
6	0.6
7	0.2
8	0.0
9	0.2
10	0.0
11	0.0
12	0.0
13	0.0
14	0.2
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.4
21	0.6
23	0.0
24	0.0
25	0.0
26	0.0
27	0.4
28	0.0
29	0.2
30	0.0
31	0.2
32	0.0
33	0.0
34	0.0
35	0.2
36	0.0
37	0.0
38	0.2
39	0.0
40	0.6
41	0.0
42	0.0
44	0.0
45	0.0
46	0.0
47	0.0
48	0.0
49	0.0
50	0.0
52	0.4
53	0.8
54	0.6
55	0.0
56	1.0
57	0.8
58	1.0
59	0.0
60	0.0
61	0.4
62	0.4
63	0.0
65	0.0
66	0.0
67	0.0
68	0.0
69	0.0
70	0.0
71	0.0
72	0.0
73	0.0
74	0.0
76	0.0
77	0.0
79	0.0
80	0.2
81	0.2
82	0.0
83	0.0
84	0.0
85	0.4
86	0.0
87	0.2
88	0.0
89	0.0
90	0.6
91	0.0
92	0.4
93	0.0
94	0.0
95	0.0
96	0.0
97	0.6
98	0.4
99	0.6
100	0.2
101	0.2
102	0.2
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.0
109	0.0
110	0.4
111	0.4
112	0.0
113	0.0
114	0.0
115	0.0
116	0.2
117	0.4
118	0.2
119	0.2
120	0.0
121	0.0
122	1.0
123	0.4
124	0.6
125	0.2
126	0.0
127	0.0
128	0.2
129	0.2
130	0.0
131	0.2
132	1.0
133	0.0
134	0.2
135	0.2
137	0.8
138	0.0
139	0.0
140	0.0
141	0.0
142	0.4
143	0.0
144	0.0
145	0.2
146	0.4
147	0.0
148	0.2
149	0.0
150	0.4
