query_id	P_30
1	0.1667
3	0.0000
4	0.0667
5	0.0000
6	0.3667
7	0.1333
8	0.0000
9	0.0667
10	0.0000
11	0.1333
12	0.0333
13	0.0000
14	0.1333
15	0.0333
16	0.0000
17	0.0000
18	0.0333
19	0.0000
20	0.3667
21	0.4000
23	0.0000
24	0.0000
25	0.1667
26	0.0667
27	0.0667
28	0.0000
29	0.0667
30	0.0000
31	0.0333
32	0.0000
33	0.0000
34	0.0000
35	0.0333
36	0.0333
37	0.0000
38	0.0667
39	0.0000
40	0.2667
41	0.0000
42	0.0000
44	0.0000
45	0.0000
46	0.0000
47	0.0667
48	0.0000
49	0.0000
50	0.0000
52	0.2333
53	0.6333
54	0.3667
55	0.0000
56	0.9333
57	0.7333
58	0.7667
59	0.0333
60	0.0000
61	0.1333
62	0.5000
63	0.0000
65	0.0000
66	0.0000
67	0.0000
68	0.0667
69	0.0000
70	0.1333
71	0.0000
72	0.0000
73	0.0000
74	0.0000
76	0.0000
77	0.0000
79	0.0000
80	0.1667
81	0.1667
82	0.0000
83	0.0000
84	0.0000
85	0.2667
86	0.0000
87	0.0333
88	0.0000
89	0.0000
90	0.3000
91	0.0000
92	0.1000
93	0.0000
94	0.0333
95	0.0333
96	0.0000
97	0.4000
98	0.4667
99	0.6000
100	0.0667
101	0.1000
102	0.1667
103	0.0000
104	0.0000
105	0.0000
106	0.0000
107	0.0000
108	0.0333
109	0.0000
110	0.4333
111	0.3333
112	0.0000
113	0.0000
114	0.0000
115	0.0000
116	0.0333
117	0.6333
118	0.4000
119	0.1333
120	0.0333
121	0.0000
122	0.5333
123	0.2333
124	0.4000
125	0.1667
126	0.0000
127	0.0000
128	0.0333
129	0.2667
130	0.0333
131	0.0667
132	0.8000
133	0.0000
134	0.0333
135	0.6667
137	0.6000
138	0.0000
139	0.0333
140	0.0333
141	0.1000
142	0.3667
143	0.1000
144	0.0000
145	0.1333
146	0.2333
147	0.0000
148	0.1000
149	0.0000
150	0.2333
