query_id	recip_rank
1	0.1429
2	0.5
3	0.0909
4	0.5
5	1.0
6	1.0
7	1.0
8	0.0526
9	0.3333
10	1.0
11	0.2
12	1.0
13	1.0
14	0.0909
15	0.5
16	0.0015
17	0.0052
18	1.0
19	0.0769
20	1.0
21	1.0
22	0.0
23	0.0014
24	0.0119
25	0.0556
26	1.0
27	1.0
28	0.0714
29	0.1429
30	0.0
31	1.0
32	0.0017
33	1.0
34	0.0
35	1.0
36	0.5
37	0.0
38	0.0909
39	0.0
40	0.5
41	0.1429
42	0.1429
43	1.0
44	0.1667
45	0.0
46	1.0
47	1.0
48	0.0
49	1.0
50	0.0
51	1.0
52	1.0
53	0.5
54	1.0
55	0.5
56	1.0
57	1.0
58	1.0
59	0.5
60	0.0455
61	1.0
62	1.0
63	1.0
64	1.0
65	0.0
66	0.0069
67	0.2
68	0.3333
69	0.2
70	0.5
71	1.0
72	0.1111
73	0.0083
74	0.1111
75	0.3333
76	1.0
77	1.0
78	1.0
79	0.0101
80	0.1111
81	1.0
82	1.0
83	0.5
84	0.3333
85	1.0
86	1.0
87	0.0833
88	0.0714
89	1.0
90	0.5
91	0.006
92	0.05
93	1.0
94	1.0
95	1.0
96	1.0
97	1.0
98	1.0
99	1.0
100	1.0
101	0.2
102	1.0
103	1.0
104	0.5
105	0.0013
106	0.25
107	1.0
108	0.2
109	0.0079
110	1.0
111	1.0
112	1.0
113	0.04
114	0.0714
115	0.1667
116	0.5
117	1.0
118	0.5
119	0.5
120	0.0769
121	0.0189
122	0.1667
123	1.0
124	1.0
125	0.5
126	1.0
127	0.25
128	0.5
129	1.0
130	1.0
131	0.1
132	1.0
133	0.5
134	1.0
135	1.0
136	1.0
137	1.0
138	0.2
139	0.1429
140	0.25
141	0.125
142	1.0
143	0.2
144	0.0769
145	1.0
146	1.0
147	0.0556
148	1.0
149	0.25
150	1.0
