query_id	bpref
1	0.1730
3	0.1711
4	0.0767
5	0.0869
6	0.2510
7	0.3099
8	0.0000
9	0.2275
10	0.1176
11	0.2824
12	0.1451
13	0.5004
14	0.0954
15	0.2259
16	0.0000
17	0.0069
18	0.1720
19	0.1236
20	0.7805
21	0.4499
23	0.0277
24	0.0069
25	0.2117
26	0.1276
27	0.4167
28	0.0332
29	0.1111
30	0.0000
31	1.0000
32	0.0000
33	0.1538
34	0.0000
35	1.0000
36	0.0000
37	0.0000
38	0.1180
39	0.0000
40	0.3486
41	0.1719
42	0.2995
44	0.0139
45	0.0000
46	0.0381
47	0.1914
48	0.0000
49	0.0000
50	0.0000
52	0.3338
53	0.4993
54	0.3127
55	0.0000
56	0.2592
57	0.7726
58	0.6850
59	0.0721
60	0.0000
61	0.1742
62	0.4713
63	0.0000
64	0.0106
65	0.0000
66	0.0000
67	0.0078
68	0.1151
69	0.2344
70	0.0983
71	0.1601
72	0.0979
73	0.0052
74	0.0113
76	0.0052
77	0.0000
79	0.0000
80	0.1530
81	0.1041
82	0.0000
83	0.0548
84	0.0128
85	0.1191
86	0.0000
87	0.0061
88	0.0778
89	0.0843
90	0.2147
91	0.0000
92	0.2201
93	0.0000
94	0.0081
95	0.0417
96	0.0000
97	0.6719
98	0.6413
99	0.6872
100	0.1413
101	0.1524
102	0.1425
103	0.0597
104	0.0010
105	0.0000
106	0.0000
107	0.0259
108	0.0741
109	0.0000
110	0.3405
111	0.3924
112	0.0107
113	0.0114
114	0.0966
115	0.1411
116	0.0000
117	0.5244
118	0.2826
119	0.2952
120	0.0421
121	0.0187
122	0.3303
123	0.2435
124	0.2478
125	0.1374
126	0.0078
127	0.0483
128	0.0371
129	0.3581
130	0.1495
131	0.0612
132	0.7520
133	0.1023
134	0.5372
135	0.6357
137	0.5349
138	0.0597
139	0.0104
140	0.0425
141	0.0850
142	0.3163
143	0.1253
144	0.0000
145	0.1534
146	0.4249
147	0.0602
148	0.1701
149	0.0000
150	0.2505
