query_id	bpref
1	0.1674
2	0.1209
3	0.1945
4	0.2719
5	0.6019
6	0.3117
7	0.2759
8	0.1260
9	0.2161
10	0.5225
11	0.2337
12	0.3929
13	0.7163
14	0.1994
15	0.3906
16	0.0233
17	0.0282
18	0.1239
19	0.1919
20	0.8549
21	0.6030
22	0.0000
23	0.0069
24	0.0378
25	0.2577
26	0.1122
27	0.3889
28	0.0166
29	0.2500
30	0.0000
31	1.0000
32	0.0000
33	0.2899
34	0.0000
35	1.0000
36	0.2778
37	0.0000
38	0.2341
39	0.0000
40	0.4226
41	0.0625
42	0.3600
43	0.4802
44	0.2155
45	0.0000
46	0.6607
47	0.2593
48	0.0000
49	0.5888
50	0.0000
51	0.3951
52	0.6793
53	0.5959
54	0.4449
55	0.4303
56	0.6061
57	0.7718
58	0.6204
59	0.1054
60	0.0538
61	0.2512
62	0.4684
63	0.2778
64	0.3080
65	0.0000
66	0.0000
67	0.0142
68	0.1359
69	0.0273
70	0.6350
71	0.2803
72	0.1010
73	0.0136
74	0.0416
75	0.1797
76	0.1387
77	0.4488
78	0.8378
79	0.0166
80	0.0931
81	0.1835
82	0.7019
83	0.2080
84	0.1179
85	0.3236
86	0.3225
87	0.0367
88	0.0132
89	0.0251
90	0.2350
91	0.0000
92	0.1359
93	0.4367
94	0.1331
95	0.0510
96	0.0212
97	0.6625
98	0.5976
99	0.7063
100	0.4245
101	0.1827
102	0.2675
103	0.3494
104	0.1824
105	0.0000
106	0.2740
107	0.2559
108	0.3300
109	0.1450
110	0.3302
111	0.5743
112	0.2427
113	0.0341
114	0.1854
115	0.2910
116	0.1720
117	0.4146
118	0.2526
119	0.3112
120	0.0586
121	0.0068
122	0.3861
123	0.2346
124	0.3292
125	0.4048
126	0.2907
127	0.2663
128	0.2989
129	0.3541
130	0.5666
131	0.0561
132	0.6931
133	0.5239
134	0.6942
135	0.7050
136	0.2189
137	0.3660
138	0.1144
139	0.0959
140	0.1335
141	0.0486
142	0.3640
143	0.3156
144	0.1352
145	0.2542
146	0.4167
147	0.2497
148	0.1174
149	0.0653
150	0.4109
