query_id	map
1	0.0350
3	0.0291
4	0.0605
5	0.0991
6	0.1518
7	0.0921
8	0.0000
9	0.1254
10	0.0009
11	0.0483
12	0.0071
13	0.1017
14	0.0102
15	0.0040
16	0.0000
17	0.0000
18	0.0247
19	0.0074
20	0.2283
23	0.0002
24	0.0000
25	0.1497
26	0.0124
27	0.3648
28	0.0535
29	0.0697
30	0.0000
31	0.3333
32	0.0000
33	0.0858
34	0.0000
35	1.0000
36	0.0734
37	0.0000
38	0.0075
39	0.0000
40	0.0233
41	0.0002
42	0.0111
44	0.0001
45	0.0000
46	0.0000
47	0.0681
48	0.0000
49	0.0000
50	0.0000
52	0.6638
53	0.2500
54	0.2142
55	0.0005
56	0.4179
57	0.6452
58	0.5772
59	0.0067
60	0.0004
61	0.0885
62	0.3008
63	0.0000
64	0.0000
65	0.0000
66	0.0000
67	0.0000
68	0.0323
69	0.0109
70	0.0225
71	0.0090
72	0.0017
73	0.0001
74	0.0002
76	0.0000
77	0.3534
79	0.0000
80	0.0213
81	0.1232
82	0.0000
83	0.0007
84	0.0048
85	0.0216
86	0.0640
87	0.0007
88	0.0105
89	0.0175
90	0.1086
91	0.0000
92	0.0185
93	0.0000
94	0.0003
95	0.0009
96	0.0000
97	0.3848
98	0.3758
99	0.4451
100	0.0320
101	0.2348
102	0.0932
103	0.0001
104	0.0006
105	0.0000
106	0.0020
107	0.0014
108	0.0049
109	0.0000
110	0.0991
111	0.1031
112	0.0002
113	0.0002
114	0.0389
115	0.0096
116	0.0124
117	0.4281
118	0.0774
119	0.0914
120	0.0012
121	0.0095
122	0.3832
123	0.0687
124	0.1725
125	0.0422
126	0.0000
127	0.0012
128	0.0075
129	0.1510
130	0.0235
131	0.0287
132	0.5664
133	0.0109
134	0.0414
135	0.3783
136	0.2793
137	0.2753
138	0.0000
139	0.0472
140	0.0506
141	0.0758
142	0.1351
143	0.0665
144	0.0003
145	0.0093
146	0.0010
147	0.0000
148	0.0076
149	0.0000
150	0.0659
